theme,amenity,name,lat,lon
education,college,Blk 390,1.3564472,103.9575337
education,college,Blk 460,1.3578697,103.9553463
education,school,ACC EduHub,1.3027978,103.8403767
education,school,,1.3035440,103.7982942
education,library,S.A.V.H. Library,1.3385983,103.8399651
education,library,,1.3129876,103.9390226
education,kindergarten,Singapore American School Kindergarten,1.4264449,103.7761582
education,library,Temasek Polytechnic Library,1.3449237,103.9326015
education,library,Medical/Science Library,1.2951884,103.7800984
education,kindergarten,,1.3902277,103.8600748
education,kindergarten,,1.3900034,103.8605889
education,school,Hua Language Centre,1.3872660,103.8696897
education,school,Jan & Elly English Language School,1.3872695,103.8696218
education,library,Lien Ying Chow Library,1.3336710,103.7768807
education,kindergarten,,1.3314987,103.7749358
education,library,Bukit Batok Public Library,1.3496614,103.7491362
education,kindergarten,Seventh-day Adventist Kindergarten,1.3357505,103.7385078
education,kindergarten,Methodist Kindergarten,1.3192937,103.8344587
education,school,,1.3386291,103.8379257
education,library,Woodlands Regional Library,1.4349069,103.7871926
education,college,Casablanca,1.4305285,103.7871672
education,library,Lee Wee Nam Library,1.3476890,103.6809281
education,school,Nanyang Polytechnic,1.3800986,103.8490994
education,school,ITE College Central,1.3775869,103.8563216
education,university,Lee Kong Chian School of Medicine (Novena Campus),1.3212266,103.8489573
education,school,SAFTI Military Institute,1.3304504,103.6834422
education,school,Madrasah At-Tahzibiah Al-Islamiah,1.4066480,103.8204181
education,kindergarten,Bethesda Kindergarten,1.3747580,103.8372770
education,library,library@chinatown,1.2849057,103.8449035
education,library,library@esplanade,1.2898895,103.8561842
education,library,Bukit Panjang Public Library,1.3796938,103.7645600
education,library,Cheng San Public Library,1.3725697,103.8939889
education,library,Choa Chu Kang Public Library,1.3851526,103.7451035
education,library,Marine Parade Public Library,1.3049716,103.9097622
education,library,Pasir Ris Public Library,1.3725127,103.9499208
education,library,Sembawang Public Library,1.4483136,103.8194642
education,library,Sengkang Public Library,1.3918934,103.8946863
education,library,Serangoon Public Library,1.3505869,103.8729596
education,library,Yishun Public Library,1.4293632,103.8364689
education,library,Clementi Public Library,1.3148858,103.7646304
education,library,library@Orchard,1.3003822,103.8396813
education,college,DigiPen Singapore,1.3077830,103.7778417
education,university,Technical University of Munich (Asia),1.3078539,103.7776795
education,college,University of Glasgow,1.3076892,103.7780353
education,school,Eager Beaver Schoolhouse @ Bukit Merah Central,1.2822628,103.8180784
education,school,Citikids Academy,1.2817516,103.8474726
education,school,French Toast Pte Ltd,1.3528711,103.8354127
education,college,ESSEC Asia-Pacific,1.3031096,103.7878105
education,library,,1.3028124,103.7700676
education,kindergarten,Korean Church Kindergarten,1.3767618,103.7658914
education,school,Chin Lien Bible Seminary,1.3111407,103.8917376
education,college,"National Institute of Education, Singapore",1.3487577,103.6784309
education,school,Air Traffic Management Research Institute,1.3473411,103.6823534
education,school,SJIJ,1.3176739,103.8460419
education,school,,1.3092529,103.9278615
education,school,Big Bubble Dive Centre,1.3048653,103.7979765
education,school,The Dive Company,1.3035327,103.8593653
education,school,Sunny Cove LLP Dive School,1.3155564,103.8815789
education,kindergarten,my first skool,1.2875652,103.8410440
education,kindergarten,my first skool,1.2752138,103.8425777
education,kindergarten,Edelweiss Kindergarten,1.4413659,103.8256028
education,library,Yale-NUS College Library,1.3072073,103.7725555
education,school,MindChamps PreSchool @ Biopolis,1.3016693,103.7934627
education,kindergarten,E-Bridge Preschool,1.3296676,103.8885767
education,kindergarten,Pink Tower Montessori,1.3065363,103.9055033
education,school,Hess Education Centre,1.3061702,103.9055252
education,kindergarten,Zoo-phonics Kindergarten,1.3128120,103.9228559
education,music_school,Shine Music School,1.3616086,103.8859690
education,language_school,Little Mandaríns,1.3021185,103.8114617
education,kindergarten,Kinderland,1.2875987,103.8438475
education,kindergarten,Galilee Kindergarten,1.3218086,103.7461261
education,music_school,Maranatha,1.3019110,103.8599433
education,kindergarten,The Kidz Club,1.3413153,103.7725135
education,kindergarten,Creative Thinkers Preschool,1.3411776,103.7720016
education,kindergarten,Pariposa Preschool,1.3396835,103.7689391
education,kindergarten,The Little Skool-House International,1.2945507,103.8420007
education,kindergarten,Careworks,1.3092236,103.8516862
education,kindergarten,Lotus Bridge International School,1.3113275,103.8593640
education,language_school,CMA Mental Arithmetic Centre,1.2849937,103.8293522
education,kindergarten,Big Foot Pre School,1.3086831,103.7613969
education,college,School of Law,1.2949618,103.8492899
education,library,Kwa Geok Choo Law Library,1.2951709,103.8488420
education,college,Lee Kong Chian School of Business,1.2949457,103.8504782
education,college,School of Accountancy,1.2959083,103.8495930
education,college,School of Information Systems,1.2976084,103.8495341
education,college,School of Economics,1.2976487,103.8490539
education,college,School of Social Sciences,1.2980482,103.8487401
education,college,de Suantio Gallery,1.2979034,103.8485604
education,university,Admin Building,1.2962668,103.8518539
education,school,SparkleTots Pre-school,1.3500698,103.8750520
education,school,Thit Sar Parami,1.3131754,103.7597575
education,school,General Assembly,1.3077267,103.8318682
education,language_school,LCentral English Enrichment,1.2849333,103.8293543
education,school,Pro-Teach Education,1.3373631,103.7197280
education,library,Bedok Public Library,1.3266193,103.9317435
education,kindergarten,PCF Marsiling,1.4358370,103.7803638
education,kindergarten,PAP Kindergarten,1.3245656,103.9106593
